Price Date,Price,Currency - Unit Level
30/06/2025,3.207,SGD
27/06/2025,3.202,SGD
26/06/2025,3.194,SGD
25/06/2025,3.179,SGD
24/06/2025,3.174,SGD
23/06/2025,3.136,SGD
20/06/2025,3.153,SGD
19/06/2025,3.164,SGD
18/06/2025,3.195,SGD
17/06/2025,3.218,SGD
16/06/2025,3.211,SGD
13/06/2025,3.211,SGD
12/06/2025,3.231,SGD
11/06/2025,3.236,SGD
10/06/2025,3.245,SGD
09/06/2025,3.255,SGD
06/06/2025,3.270,SGD
05/06/2025,3.266,SGD
04/06/2025,3.248,SGD
03/06/2025,3.246,SGD
02/06/2025,3.240,SGD
30/05/2025,3.254,SGD
29/05/2025,3.264,SGD
28/05/2025,3.280,SGD
27/05/2025,3.274,SGD
26/05/2025,3.271,SGD
23/05/2025,3.276,SGD
22/05/2025,3.264,SGD
21/05/2025,3.265,SGD
20/05/2025,3.266,SGD
19/05/2025,3.274,SGD
16/05/2025,3.284,SGD
15/05/2025,3.277,SGD
14/05/2025,3.279,SGD
13/05/2025,3.246,SGD
09/05/2025,3.200,SGD
08/05/2025,3.205,SGD
07/05/2025,3.205,SGD
06/05/2025,3.187,SGD
05/05/2025,3.179,SGD
02/05/2025,3.174,SGD
30/04/2025,3.153,SGD
29/04/2025,3.122,SGD
28/04/2025,3.107,SGD
25/04/2025,3.100,SGD
24/04/2025,3.072,SGD
23/04/2025,3.068,SGD
22/04/2025,3.030,SGD
21/04/2025,3.010,SGD
17/04/2025,3.013,SGD
16/04/2025,2.992,SGD
15/04/2025,2.987,SGD
14/04/2025,2.963,SGD
11/04/2025,2.933,SGD
10/04/2025,2.950,SGD
09/04/2025,2.854,SGD
08/04/2025,2.855,SGD
07/04/2025,2.941,SGD
04/04/2025,3.046,SGD
03/04/2025,3.117,SGD
02/04/2025,3.175,SGD
01/04/2025,3.175,SGD
28/03/2025,3.172,SGD
27/03/2025,3.188,SGD
26/03/2025,3.162,SGD
25/03/2025,3.128,SGD
24/03/2025,3.117,SGD
21/03/2025,3.110,SGD
20/03/2025,3.123,SGD
19/03/2025,3.117,SGD
18/03/2025,3.110,SGD
17/03/2025,3.121,SGD
14/03/2025,3.109,SGD
13/03/2025,3.101,SGD
12/03/2025,3.096,SGD
11/03/2025,3.111,SGD
10/03/2025,3.150,SGD
07/03/2025,3.193,SGD
06/03/2025,3.198,SGD
05/03/2025,3.213,SGD
04/03/2025,3.162,SGD
03/03/2025,3.161,SGD
28/02/2025,3.150,SGD
27/02/2025,3.188,SGD
26/02/2025,3.191,SGD
25/02/2025,3.168,SGD
24/02/2025,3.217,SGD
21/02/2025,3.236,SGD
20/02/2025,3.232,SGD
19/02/2025,3.267,SGD
18/02/2025,3.290,SGD
17/02/2025,3.260,SGD
14/02/2025,3.239,SGD
13/02/2025,3.250,SGD
12/02/2025,3.251,SGD
11/02/2025,3.230,SGD
10/02/2025,3.237,SGD
07/02/2025,3.257,SGD
06/02/2025,3.217,SGD
05/02/2025,3.234,SGD
04/02/2025,3.238,SGD
03/02/2025,3.222,SGD
31/01/2025,3.243,SGD
28/01/2025,3.241,SGD
27/01/2025,3.221,SGD
24/01/2025,3.251,SGD
23/01/2025,3.262,SGD
22/01/2025,3.270,SGD
21/01/2025,3.249,SGD
20/01/2025,3.233,SGD
17/01/2025,3.243,SGD
16/01/2025,3.226,SGD
15/01/2025,3.226,SGD
14/01/2025,3.214,SGD
13/01/2025,3.237,SGD
10/01/2025,3.272,SGD
09/01/2025,3.284,SGD
08/01/2025,3.307,SGD
07/01/2025,3.288,SGD
06/01/2025,3.278,SGD
03/01/2025,3.295,SGD
02/01/2025,3.294,SGD
31/12/2024,3.297,SGD
30/12/2024,3.291,SGD
27/12/2024,3.274,SGD
26/12/2024,3.268,SGD
24/12/2024,3.268,SGD
23/12/2024,3.251,SGD
20/12/2024,3.209,SGD
19/12/2024,3.229,SGD
18/12/2024,3.256,SGD
17/12/2024,3.279,SGD
16/12/2024,3.320,SGD
13/12/2024,3.336,SGD
12/12/2024,3.340,SGD
11/12/2024,3.355,SGD
10/12/2024,3.358,SGD
09/12/2024,3.343,SGD
06/12/2024,3.347,SGD
05/12/2024,3.352,SGD
04/12/2024,3.352,SGD
03/12/2024,3.338,SGD
02/12/2024,3.292,SGD
29/11/2024,3.289,SGD
28/11/2024,3.298,SGD
27/11/2024,3.287,SGD
26/11/2024,3.290,SGD
25/11/2024,3.320,SGD
22/11/2024,3.303,SGD
21/11/2024,3.298,SGD
20/11/2024,3.305,SGD
19/11/2024,3.293,SGD
18/11/2024,3.264,SGD
15/11/2024,3.257,SGD
14/11/2024,3.254,SGD
13/11/2024,3.273,SGD
12/11/2024,3.267,SGD
11/11/2024,3.265,SGD
08/11/2024,3.261,SGD
